#CONTEXT	START	END	MNEMONIC_ZEQER	MNEMONIC_SEQ64	MNEMONIC_ZELDARET	SIZE	PARAM_COUNT	SERFMT	CMDFMT	FLAGS	ENUM
C	0xd4	0xd4	reverb	reverb	reverb	2	1	1	%d	0x00302	CH_REVERB
C	0xd7	0xd7	vibfreq	vibfreq	vibfreq	2	1	1	%d	0x00302	CH_VIBRATO_FREQ
C	0xd8	0xd8	vibdepth	vibdepth	vibdepth	2	1	1	%d	0x00302	CH_VIBRATO_DEPTH
C	0xd9	0xd9	crelease	release	releaserate	2	1	1	%d	0x00302	CH_RELEASE
C	0xda	0xda	cenv	cenvelope	envelope	3	1	2	%r	0x40302	CH_ENVELOPE
C	0xdb	0xdb	ctp	ctp	transpose	2	1	1	%d	0x00302	CH_TRANSPOSE
C	0xdc	0xdc	panmix	panmix	panweight	2	1	1	%d	0x00302	CH_PANMIX
C	0xdd	0xdd	cpan	cpan	pan	2	1	1	%d	0x00302	CH_PAN
C	0xde	0xde	freqscale	freqscale	freqscale	3	1	2	%d	0x00302	CH_FREQSCALE
C	0xdf	0xdf	cvol	cvol	vol	2	1	1	%d	0x00302	CH_VOLUME
C	0xe0	0xe0	cexp	cexp	volexp	2	1	1	%d	0x00302	CH_EXP
C	0xe1	0xe1	vibfenv	vibfreqenv	vibfreqgrad	4	3	111	%d;%d;%d	0x00302	CH_VIBRATO_FREQENV
C	0xe2	0xe2	vibdenv	vibdepthenv	vibdepthgrad	4	3	111	%d;%d;%d	0x00302	CH_VIBRATO_DEPTHENV
C	0xe3	0xe3	vibdelay	vibdelay	vibdelay	2	1	1	%d	0x00302	CH_VIBRATO_DELAY
C	0xe4	0xe4	dyncall	dyncall	dyncall	1	0	X	;	0x02002	CALL_DYNTABLE
C	0xe5	0xe5	rvbidx	reverbidx	rvrbidx	2	1	1	%d	0x00302	CH_REVERB_IDX
C	0xe6	0xe6	splvari	splvari	samplebook	2	1	1	%d	0x10302	CH_SAMPLE_VARIATION
C	0xe7	0xe7	ldcparams	ldcparams	ldparams	3	1	2	%r	0x40302	CH_LOAD_PARAMS
C	0xe8	0xe8	cparams	cparams	params	9	8	CPR	%d;%d;%d;%d;%d;%d;%d;%d	0x00302	CH_SET_PARAMS
C	0xe9	0xe9	notepri	notepriority	notepri	2	1	1	%d	0x00302	CH_PRIORITY
C	0xea	0xea	halt	halt	stop	1	0	X	;	0x00002	CH_HALT
C	0xeb	0xeb	csetbp	bankinstr	fontinstr	3	2	11	%d;%d	0x00302	SET_BANK_AND_PROGRAM
C	0xec	0xec	chreset	chanreset	chanreset	1	0	X	;	0x00002	CH_RESET
C	0xed	0xed	filgain	filgain	gain	2	1	1	%d	0x00302	CH_FILTER_GAIN
C	0xee	0xee	cbendf	cbend2	bendfine	2	1	1	%d	0x00302	CH_PITCHBEND_ALT
L	0x00	0x3f	notedvg	notedvg	notedvg	4	4	N	%d;%d;%d;%d	0x00619	PLAY_NOTE_NTVG
L	0x40	0x7f	notedv	notedv	notedv	3	3	N	%d;%d;%d	0x00619	PLAY_NOTE_NTV
L	0x80	0xbf	notevg	notevg	notevg	3	3	N	%d;%d;%d	0x00601	PLAY_NOTE_NVG
LS	0x00	0x3f	shortdvg	snoted	shortdvg	2	2	SN	%d;%d	0x00619	SHORT_NOTE_NTVG
LS	0x40	0x7f	shortdv	snotedef	shortdv	1	1	SN	%d	0x00601	SHORT_NOTE_NTV
LS	0x80	0xbf	shortvg	snotelast	shortvg	1	1	SN	%d	0x00601	SHORT_NOTE_NVG
L	0xc0	0xc0	ldelay	ldelay	ldelay	2	1	V	%d	0x00e09	REST
L	0xc1	0xc1	shvel	shortvel	shortvel	2	1	1	%d	0x00301	L_SHORTVEL
L	0xc2	0xc2	ltp	ltp	transpose	2	1	1	%d	0x00301	L_TRANSPOSE
L	0xc3	0xc3	shdelay	shortdelay	shortdelay	2	1	V	%d	0x00309	L_SHORTTIME
L	0xc4	0xc4	legato	legatoon	legato	1	0	X	;	0x00301	LEGATO_ON
L	0xc5	0xc5	legoff	legatooff	nolegato	1	0	X	;	0x00301	LEGATO_OFF
L	0xc6	0xc6	linst	linst	instr	2	1	1	%d	0x00301	L_SET_PROGRAM
L	0xc7	0xc7	porta	portamento	portamento	4	3	111	%d;%d;%d	0x00301	PORTAMENTO_ON
L	0xc8	0xc8	portaoff	portamentooff	noportamento	1	0	X	;	0x00301	PORTAMENTO_OFF
L	0xc9	0xc9	shgate	shortgate	shortgate	2	1	1	%d	0x00301	L_SHORTGATE
L	0xca	0xca	lpan	lpan	notepan	2	1	1	%d	0x00301	L_PAN
L	0xcb	0xcb	lenv	lenvelope	envelope	4	2	21	%r	0x40301	L_ENVELOPE
L	0xcc	0xcc	dpoff	drumpanoff	nodrumpan	1	0	X	;	0x00301	DRUMPAN_OFF
L	0xcd	0xcd	rvbph	reverbphase	stereo	2	1	1	%d	0x00301	L_REVERB_PHASE
L	0xce	0xce	lbendf	lbend2	bendfine	2	1	1	%d	0x00301	L_PITCHBEND_ALT
L	0xcf	0xcf	lrelease	lrelease	releaserate	2	1	1	%d	0x00301	L_RELEASE
L	0xd0	0xdf	ldshv	shorttablevel	ldshortvel	1	1	L	%d	0x00301	SHORTTBL_VEL
L	0xe0	0xef	ldshg	shorttablegate	ldshortgate	1	1	L	%d	0x00301	SHORTTBL_GATE
